id,method,path,module,operation_id,summary
370,POST,/api/v1/rescue/{request_id}/verify,rescue,verify_request_api_v1_rescue__request_id__verify_post,Verify Request
371,GET,/api/v1/settings/business-rules,settings,list_business_rules_api_v1_settings_business_rules_get,List Business Rules
372,POST,/api/v1/settings/business-rules,settings,create_business_rule_api_v1_settings_business_rules_post,Create Business Rule
373,DELETE,/api/v1/settings/business-rules/{rule_id},settings,delete_business_rule_api_v1_settings_business_rules__rule_id__delete,Delete Business Rule
374,GET,/api/v1/settings/business-rules/{rule_key},settings,get_business_rule_api_v1_settings_business_rules__rule_key__get,Get Business Rule
375,PUT,/api/v1/settings/business-rules/{rule_key},settings,update_business_rule_api_v1_settings_business_rules__rule_key__put,Update Business Rule
376,GET,/api/v1/settings/email,settings,get_email_settings_api_v1_settings_email_get,Get Email Settings
377,GET,/api/v1/settings/general,settings,get_general_settings_api_v1_settings_general_get,Get General Settings
378,GET,/api/v1/settings/password-policy,settings,get_password_policy_api_v1_settings_password_policy_get,Get Password Policy
379,PUT,/api/v1/settings/password-policy,settings,update_password_policy_api_v1_settings_password_policy_put,Update Password Policy
380,GET,/api/v1/settings/public-content,settings,get_public_content_api_v1_settings_public_content_get,Get Public Content
381,PUT,/api/v1/settings/public-content,settings,update_public_content_api_v1_settings_public_content_put,Update Public Content
382,GET,/api/v1/settings/storage,settings,get_storage_settings_api_v1_settings_storage_get,Get Storage Settings
383,GET,/api/v1/settings/system,settings,list_settings_api_v1_settings_system_get,List Settings
384,POST,/api/v1/settings/system,settings,create_setting_api_v1_settings_system_post,Create Setting
385,GET,/api/v1/settings/system/{key},settings,get_setting_api_v1_settings_system__key__get,Get Setting
386,PUT,/api/v1/settings/system/{key},settings,update_setting_api_v1_settings_system__key__put,Update Setting
387,DELETE,/api/v1/settings/system/{setting_id},settings,delete_setting_api_v1_settings_system__setting_id__delete,Delete Setting
388,POST,/api/v1/shelter/care-logs,shelter,submit_daily_care_log_api_v1_shelter_care_logs_post,Submit Daily Care Log
389,GET,/api/v1/shelter/dogs/{dog_id}/care-logs,shelter,list_care_logs_api_v1_shelter_dogs__dog_id__care_logs_get,List Care Logs
390,GET,/api/v1/shelter/facilities,shelter,list_facilities_api_v1_shelter_facilities_get,List Facilities
391,POST,/api/v1/shelter/facilities,shelter,create_facility_api_v1_shelter_facilities_post,Create Facility
392,POST,/api/v1/shelter/facilities/bulk/delete,shelter,bulk_delete_facilities_api_v1_shelter_facilities_bulk_delete_post,Bulk Delete Facilities
393,POST,/api/v1/shelter/facilities/bulk/status,shelter,bulk_update_facility_status_api_v1_shelter_facilities_bulk_status_post,Bulk Update Facility Status
394,GET,/api/v1/shelter/facilities/{facility_id},shelter,get_facility_api_v1_shelter_facilities__facility_id__get,Get Facility
395,PUT,/api/v1/shelter/facilities/{facility_id},shelter,update_facility_api_v1_shelter_facilities__facility_id__put,Update Facility
396,DELETE,/api/v1/shelter/facilities/{facility_id},shelter,delete_facility_api_v1_shelter_facilities__facility_id__delete,Delete Facility
397,GET,/api/v1/shelter/facilities/{facility_id}/sections,shelter,list_sections_api_v1_shelter_facilities__facility_id__sections_get,List Sections
398,POST,/api/v1/shelter/facilities/{facility_id}/sections,shelter,create_section_api_v1_shelter_facilities__facility_id__sections_post,Create Section
399,PUT,/api/v1/shelter/facilities/{facility_id}/status,shelter,update_facility_status_api_v1_shelter_facilities__facility_id__status_put,Update Facility Status
400,POST,/api/v1/shelter/kennels/{kennel_id}/assign/{dog_id},shelter,assign_dog_to_kennel_api_v1_shelter_kennels__kennel_id__assign__dog_id__post,Assign Dog To Kennel
